"","kernel","approach","bandwidth","R2","R2adj","RSS","AIC","AICC"
"152","exponential","CV",800,0.502570805278824,0.495665390251661,55041.2303885745,38690.842431075,38760.335095411
"153","bisquare","CV",800,0.584550790203666,0.559224942484715,45970.0313407796,37507.2782333547,37887.6356242294
"154","tricube","CV",800,0.579938739563456,0.557735236409082,46480.3611415745,37569.7195053851,37917.952636148
"155","boxcar","CV",800,0.537907215463747,0.53024883000058,51131.2075858644,38157.8824048787,38296.9202242591
"156","gaussian","AIC",800,0.515357223717039,0.50958669481765,53626.3954521229,38479.3808461082,38549.1619544245
"157","exponential","AIC",800,0.502570805278824,0.495665390251661,55041.2303885745,38690.842431075,38760.335095411
"158","bisquare","AIC",800,0.584550790203666,0.559224942484715,45970.0313407796,37507.2782333547,37887.6356242294
"159","tricube","AIC",800,0.579938739563456,0.557735236409082,46480.3611415745,37569.7195053851,37917.952636148
"160","boxcar","AIC",800,0.537907215463747,0.53024883000058,51131.2075858644,38157.8824048787,38296.9202242591
"161","gaussian","CV",850,0.511429786963694,0.50622014008347,54060.9717766962,38538.1782441091,38600.9104508408
"162","exponential","CV",850,0.498666122350738,0.492408694497914,55473.2889708208,38747.8787138759,38810.6204305403
"163","bisquare","CV",850,0.578391407212683,0.555509075543048,46651.5756125191,37590.5210470558,37928.154911602
"164","tricube","CV",850,0.574019750309786,0.553972844842739,47135.3055128258,37649.8166630836,37959.0319958401
"165","boxcar","CV",850,0.534125389920266,0.527229723385018,51549.6718280865,38210.1941726631,38334.3757244688
"166","gaussian","AIC",850,0.511429786963694,0.50622014008347,54060.9717766962,38538.1782441091,38600.9104508408
"167","exponential","AIC",850,0.498666122350738,0.492408694497914,55473.2889708208,38747.8787138759,38810.6204305403
"168","bisquare","AIC",850,0.578391407212683,0.555509075543048,46651.5756125191,37590.5210470558,37928.154911602
"169","tricube","AIC",850,0.574019750309786,0.553972844842739,47135.3055128258,37649.8166630836,37959.0319958401
"170","boxcar","AIC",850,0.534125389920266,0.527229723385018,51549.6718280865,38210.1941726631,38334.3757244688
"171","gaussian","CV",900,0.50776813406389,0.503036136294015,54466.1387492019,38593.1042277593,38649.8827433157
"172","exponential","CV",900,0.495065621336342,0.489357751387242,55871.6894023812,38800.5564408533,38857.6285785313
"173","bisquare","CV",900,0.572921522099979,0.552140611038029,47256.8259876124,37664.399931221,37966.3249309746
"174","tricube","CV",900,0.568774761613953,0.550580274921871,47715.6707874347,37720.7166071592,37997.2788081451
"175","boxcar","CV",900,0.52982237436945,0.523544160435121,52025.8064675719,38273.4976569607,38385.5678233123
"176","gaussian","AIC",900,0.50776813406389,0.503036136294015,54466.1387492019,38593.1042277593,38649.8827433157
"177","exponential","AIC",900,0.495065621336342,0.489357751387242,55871.6894023812,38800.5564408533,38857.6285785313
"178","bisquare","AIC",900,0.572921522099979,0.552140611038029,47256.8259876124,37664.399931221,37966.3249309746
"179","tricube","AIC",900,0.568774761613953,0.550580274921871,47715.6707874347,37720.7166071592,37997.2788081451
"180","boxcar","AIC",900,0.52982237436945,0.523544160435121,52025.8064675719,38273.4976569607,38385.5678233123
"181","gaussian","CV",950,0.50434740276253,0.500026299144083,54844.6474126533,38644.4627243418,38696.158860242
"182","exponential","CV",950,0.491726177728861,0.486488737297639,56241.2034697492,38849.4677058882,38901.7283223506
"183","bisquare","CV",950,0.567987861688217,0.549026086323185,47802.74235574,37731.3387876976,38003.1418790141
"184","tricube","CV",950,0.564071622227037,0.547482191499829,48236.0796844034,37784.4319768823,38033.3954755057
"185","boxcar","CV",950,0.525246280085916,0.519519795148941,52532.1576476249,38342.0187091535,38443.3247880969
"186","gaussian","AIC",950,0.50434740276253,0.500026299144083,54844.6474126533,38644.4627243418,38696.158860242
"187","exponential","AIC",950,0.491726177728861,0.486488737297639,56241.2034697492,38849.4677058882,38901.7283223506
"188","bisquare","AIC",950,0.567987861688217,0.549026086323185,47802.74235574,37731.3387876976,38003.1418790141
"189","tricube","AIC",950,0.564071622227037,0.547482191499829,48236.0796844034,37784.4319768823,38033.3954755057
"190","boxcar","AIC",950,0.525246280085916,0.519519795148941,52532.1576476249,38342.0187091535,38443.3247880969
"191","gaussian","CV",1000,0.501144521405091,0.497180034035194,55199.0506776262,38692.5609497042,38739.8794823745
"192","exponential","CV",1000,0.488610695468166,0.48377937401751,56585.9359034346,38895.1306585377,38943.2690020683
"193","bisquare","CV",1000,0.563480259872561,0.546101931324391,48301.5147492151,37792.944906455,38039.0977071994
"194","tricube","CV",1000,0.559786363917926,0.544594478412585,48710.2494604627,37842.8785299488,38068.3255641134
"195","boxcar","CV",1000,0.522630364767775,0.517378289414483,52821.6123061587,38378.2763115889,38470.7636612328
"196","gaussian","AIC",1000,0.501144521405091,0.497180034035194,55199.0506776262,38692.5609497042,38739.8794823745
"197","exponential","AIC",1000,0.488610695468166,0.48377937401751,56585.9359034346,38895.1306585377,38943.2690020683
"198","bisquare","AIC",1000,0.563480259872561,0.546101931324391,48301.5147492151,37792.944906455,38039.0977071994
"199","tricube","AIC",1000,0.559786363917926,0.544594478412585,48710.2494604627,37842.8785299488,38068.3255641134
"200","boxcar","AIC",1000,0.522630364767775,0.517378289414483,52821.6123061587,38378.2763115889,38470.7636612328
"201","gaussian","CV",1050,0.498137916928281,0.494485267405704,55531.7356334986,38737.7022389031,38781.2216473235
"202","exponential","CV",1050,0.485687121911415,0.481209115849849,56909.4333728288,38937.9986607952,38982.574688679
"203","bisquare","CV",1050,0.559343846147568,0.543350372942809,48759.2146655768,37849.9317308385,38074.1408482362
"204","tricube","CV",1050,0.555841682941136,0.541872517874183,49146.73388228,37897.1600806568,38102.4461645529
"205","boxcar","CV",1050,0.52049208466248,0.515649718168667,53058.2159658551,38407.4232778939,38492.4071543283
"206","gaussian","AIC",1050,0.498137916928281,0.494485267405704,55531.7356334986,38737.7022389031,38781.2216473235
"207","exponential","AIC",1050,0.485687121911415,0.481209115849849,56909.4333728288,38937.9986607952,38982.574688679
"208","bisquare","AIC",1050,0.559343846147568,0.543350372942809,48759.2146655768,37849.9317308385,38074.1408482362
"209","tricube","AIC",1050,0.555841682941136,0.541872517874183,49146.73388228,37897.1600806568,38102.4461645529
"210","boxcar","AIC",1050,0.52049208466248,0.515649718168667,53058.2159658551,38407.4232778939,38492.4071543283
"211","gaussian","CV",1100,0.495307032434291,0.491928784114067,55844.9769295276,38780.1856754798,38820.3863372618
"212","exponential","CV",1100,0.4829278212184,0.478759362261182,57214.7538219849,38978.4658703701,39019.9392840607
"213","bisquare","CV",1100,0.555546576269411,0.540771204559843,49179.387844854,37902.5632431958,38107.8521593276
"214","tricube","CV",1100,0.552190222701039,0.539295367172206,49550.7730228506,37947.8687853648,38135.7777359081
"215","boxcar","CV",1100,0.518565143890509,0.514094595628198,53271.4346351667,38433.5516012604,38511.7968110628
"216","gaussian","AIC",1100,0.495307032434291,0.491928784114067,55844.9769295276,38780.1856754798,38820.3863372618
"217","exponential","AIC",1100,0.4829278212184,0.478759362261182,57214.7538219849,38978.4658703701,39019.9392840607
"218","bisquare","AIC",1100,0.555546576269411,0.540771204559843,49179.387844854,37902.5632431958,38107.8521593276
"219","tricube","AIC",1100,0.552190222701039,0.539295367172206,49550.7730228506,37947.8687853648,38135.7777359081
"220","boxcar","AIC",1100,0.518565143890509,0.514094595628198,53271.4346351667,38433.5516012604,38511.7968110628
"221","gaussian","CV",1150,0.492632052024026,0.489496570774012,56140.9672224352,38820.3054656354,38857.5899596601
"222","exponential","CV",1150,0.480309071912829,0.476413561739659,57504.5220651589,39016.8723169901,39055.6241680775
"223","bisquare","CV",1150,0.552053955018309,0.538355977692114,49565.851230964,37951.1892478326,38140.0222104178
"224","tricube","CV",1150,0.548807230107076,0.53686058491369,49925.1058459805,37995.1939104062,38168.0181420223
"225","boxcar","CV",1150,0.516960950643816,0.512819890045722,53448.9408431176,38454.9057760936,38527.2482317143
"226","gaussian","AIC",1150,0.492632052024026,0.489496570774012,56140.9672224352,38820.3054656354,38857.5899596601
"227","exponential","AIC",1150,0.480309071912829,0.476413561739659,57504.5220651589,39016.8723169901,39055.6241680775
"228","bisquare","AIC",1150,0.552053955018309,0.538355977692114,49565.851230964,37951.1892478326,38140.0222104178
"229","tricube","AIC",1150,0.548807230107076,0.53686058491369,49925.1058459805,37995.1939104062,38168.0181420223
"230","boxcar","AIC",1150,0.516960950643816,0.512819890045722,53448.9408431176,38454.9057760936,38527.2482317143
"231","gaussian","CV",1200,0.490094155394476,0.487174492091392,56421.7890048555,38858.3440035072,38893.0523598383
"232","exponential","CV",1200,0.477810603536493,0.474157190577384,57780.9810566694,39053.5093176379,39089.8582837054
"233","bisquare","CV",1200,0.548846675203699,0.536106176886581,49920.7411913241,37995.9623709746,38170.390704104
"234","tricube","CV",1200,0.545677288210368,0.534571441034387,50271.4382584479,38039.2009389911,38198.8362965967
"235","boxcar","CV",1200,0.514583600467128,0.510733959001464,53711.9979378318,38489.6885188572,38556.7197852824
"236","gaussian","AIC",1200,0.490094155394476,0.487174492091392,56421.7890048555,38858.3440035072,38893.0523598383
"237","exponential","AIC",1200,0.477810603536493,0.474157190577384,57780.9810566694,39053.5093176379,39089.8582837054
"238","bisquare","AIC",1200,0.548846675203699,0.536106176886581,49920.7411913241,37995.9623709746,38170.390704104
"239","tricube","AIC",1200,0.545677288210368,0.534571441034387,50271.4382584479,38039.2009389911,38198.8362965967
"240","boxcar","AIC",1200,0.514583600467128,0.510733959001464,53711.9979378318,38489.6885188572,38556.7197852824
"241","gaussian","CV",1250,0.487676124646422,0.484949169216692,56689.3474612201,38894.5606992319,38926.9822399233
"242","exponential","CV",1250,0.475415156877239,0.471977638813571,58046.0405522815,39088.6251294675,39122.8399189112
"243","bisquare","CV",1250,0.54588716139406,0.534002124539204,50248.2154995537,38037.3771881617,38199.0967095698
"244","tricube","CV",1250,0.542784291262002,0.532427761412801,50591.552383711,38080.0085875732,38228.0320396154
"245","boxcar","CV",1250,0.512938267936249,0.509357466194724,53894.0562646429,38512.5680028505,38574.8194290167
"246","gaussian","AIC",1250,0.487676124646422,0.484949169216692,56689.3474612201,38894.5606992319,38926.9822399233
"247","exponential","AIC",1250,0.475415156877239,0.471977638813571,58046.0405522815,39088.6251294675,39122.8399189112
"248","bisquare","AIC",1250,0.54588716139406,0.534002124539204,50248.2154995537,38037.3771881617,38199.0967095698
"249","tricube","AIC",1250,0.542784291262002,0.532427761412801,50591.552383711,38080.0085875732,38228.0320396154
"250","boxcar","AIC",1250,0.512938267936249,0.509357466194724,53894.0562646429,38512.5680028505,38574.8194290167
"251","gaussian","CV",1300,0.485362921674735,0.482808737227221,56945.3065787213,38929.1821046382,38959.5647782507
"252","exponential","CV",1300,0.473108074689365,0.46986404345755,58301.3223965636,39122.430508136,39154.7394198287
"253","bisquare","CV",1300,0.543146924170524,0.532029956526825,50551.4265493686,38075.8015636648,38226.2323463668
"254","tricube","CV",1300,0.540108177869875,0.530423047992758,50887.6680426332,38117.8317660556,38255.5569126986
"255","boxcar","CV",1300,0.510659666592676,0.507317655142968,54146.1866639968,38546.3321764036,38604.2752487981
"256","gaussian","AIC",1300,0.485362921674735,0.482808737227221,56945.3065787213,38929.1821046382,38959.5647782507
"257","exponential","AIC",1300,0.473108074689365,0.46986404345755,58301.3223965636,39122.430508136,39154.7394198287
"258","bisquare","AIC",1300,0.543146924170524,0.532029956526825,50551.4265493686,38075.8015636648,38226.2323463668
"259","tricube","AIC",1300,0.540108177869875,0.530423047992758,50887.6680426332,38117.8317660556,38255.5569126986
"260","boxcar","AIC",1300,0.510659666592676,0.507317655142968,54146.1866639968,38546.3321764036,38604.2752487981
